dataset_id,aggregation_level_hh,sample_no,edp_site_id,weight,postcode,state,lat_deg,long_deg
ds33,100,3,W0302,1,2031,NSW,-33.9121,151.2588
ds33,100,3,W0319,1,2153,NSW,-33.7588,150.9929
ds33,100,3,W0336,1,2065,NSW,-33.8257,151.1931
ds33,100,3,W0345,1,2287,NSW,-32.8937,151.6901
ds34,1000,1,S0120,7,2073,NSW,-33.7439,151.1419
ds34,1000,1,S0135,6,2321,NSW,-32.7908,151.5154
ds34,1000,1,S0158,6,2155,NSW,-33.6999,150.9411
ds34,1000,1,S0168,3,2299,NSW,-32.9028,151.6907
ds34,1000,1,S0170,8,2307,NSW,-32.8788,151.691
ds34,1000,1,S0172,6,2070,NSW,-33.7833,151.1667
ds34,1000,1,S0177,4,2121,NSW,-33.7594,151.0925
ds34,1000,1,S0179,9,2285,NSW,-32.9547,151.6645
ds34,1000,1,S0185,8,2065,NSW,-33.8257,151.1931
ds34,1000,1,S0191,9,2577,NSW,-34.6504,150.6487
ds34,1000,1,S0209,11,2151,NSW,-33.7722,151.0172
ds34,1000,1,S0212,7,2106,NSW,-33.6564,151.314
ds34,1000,1,S0216,6,2289,NSW,-32.9428,151.6958
ds34,1000,1,S0217,9,2121,NSW,-33.7594,151.0925
ds34,1000,1,S0244,5,2087,NSW,-33.7745,151.2203
ds34,1000,1,S0247,10,2508,NSW,-34.2377,150.9195
ds34,1000,1,S0256,6,2765,NSW,-33.5922,150.9198
ds34,1000,1,S0259,8,2155,NSW,-33.6999,150.9411
ds34,1000,1,S0273,10,2569,NSW,-34.185,150.7145
ds34,1000,1,S0289,11,2756,NSW,-33.6586,150.8108
ds34,1000,1,S0295,4,2330,NSW,-32.6377,151.093
ds34,1000,1,S0299,5,2321,NSW,-32.7908,151.5154
ds34,1000,1,S0310,5,2077,NSW,-33.7024,151.0993
ds34,1000,1,S0316,9,2323,NSW,-32.8305,151.5312
ds34,1000,1,S0318,14,2191,NSW,-33.9035,151.0847
ds34,1000,1,S0320,6,2285,NSW,-32.9547,151.6645
ds34,1000,1,S0321,4,2322,NSW,-32.7931,151.6769
ds34,1000,1,S0334,9,2008,NSW,-33.8867,151.1975
ds34,1000,1,S0335,13,2760,NSW,-33.7328,150.791
ds34,1000,1,S0337,2,2227,NSW,-34.0521,151.088
ds34,1000,1,S0345,5,2321,NSW,-32.7908,151.5154
ds34,1000,1,S0347,11,2765,NSW,-33.5922,150.9198
ds34,1000,1,S0349,12,2048,NSW,-33.8941,151.1642
ds34,1000,1,S0350,4,2261,NSW,-33.35,151.4333
ds34,1000,1,S0366,9,2334,NSW,-32.6778,151.3892
ds34,1000,1,S0367,6,2525,NSW,-34.4356,150.8583
ds34,1000,1,S0374,6,2230,NSW,-34.0367,151.1592
ds34,1000,1,S0380,7,2320,NSW,-32.7288,151.5345
ds34,1000,1,S0387,6,2044,NSW,-33.9233,151.1602
ds34,1000,1,S0393,8,2325,NSW,-32.8887,151.2832
ds34,1000,1,S0396,5,2325,NSW,-32.8887,151.2832
ds34,1000,1,S0403,11,2747,NSW,-33.7478,150.7221
ds34,1000,1,S0405,10,2282,NSW,-32.9725,151.6527
ds34,1000,1,S0406,7,2147,NSW,-33.7833,150.9333
ds34,1000,1,S0410,11,2137,NSW,-33.8569,151.0912
ds34,1000,1,S0413,9,2225,NSW,-34.0041,151.0759
ds34,1000,1,S0417,8,2330,NSW,-32.6377,151.093
ds34,1000,1,S0425,5,2750,NSW,-33.77350000000001,150.6947
ds34,1000,1,S0428,6,2179,NSW,-33.9698,150.7967
ds34,1000,1,S0431,5,2284,NSW,-32.9806,151.6184
ds34,1000,1,S0443,5,2120,NSW,-33.7118,151.0714
ds34,1000,1,S0444,4,2295,NSW,-32.8643,151.8131
ds34,1000,1,S0450,10,2265,NSW,-33.0667,151.4167
ds34,1000,1,S0452,7,2765,NSW,-33.5922,150.9198
ds34,1000,1,S0455,4,2566,NSW,-34.0224,150.8296
ds34,1000,1,S0459,5,2753,NSW,-33.5996,150.7514
ds34,1000,1,S0478,7,2322,NSW,-32.7931,151.6769
ds34,1000,1,S0487,6,2116,NSW,-33.8145,151.0375
ds34,1000,1,S0494,3,2280,NSW,-33.0493,151.6569
ds34,1000,1,S0501,6,2232,NSW,-34.0244,151.0386
ds34,1000,1,S0502,6,2232,NSW,-34.0244,151.0386
ds34,1000,1,S0516,6,2263,NSW,-33.243,151.5043
ds34,1000,1,S0517,4,2150,NSW,-33.8178,151.0035
ds34,1000,1,S0524,4,2324,NSW,-32.6478,151.7616
ds34,1000,1,S0530,9,2125,NSW,-33.7457,151.0476
ds34,1000,1,S0532,4,2045,NSW,-33.883,151.1439
ds34,1000,1,S0533,7,2316,NSW,-32.7858,152.0896
ds34,1000,1,S0536,10,2281,NSW,-33.0823,151.6455
ds34,1000,1,S0538,8,2291,NSW,-32.9382,151.7591
ds34,1000,1,S0544,10,2250,NSW,-33.20500000000001,151.1759
ds34,1000,1,S0553,7,2518,NSW,-34.3761,150.9108
ds34,1000,1,S0558,6,2322,NSW,-32.7931,151.6769
ds34,1000,1,S0562,11,2155,NSW,-33.6999,150.9411
ds34,1000,1,S0567,8,2285,NSW,-32.9547,151.6645
ds34,1000,1,S0569,8,2110,NSW,-33.8343,151.1459
ds34,1000,1,S0570,2,2285,NSW,-32.9547,151.6645
ds34,1000,1,S0571,5,2100,NSW,-33.7666,151.2498
ds34,1000,1,S0579,9,2291,NSW,-32.9382,151.7591
ds34,1000,1,S0582,9,2289,NSW,-32.9428,151.6958
ds34,1000,1,S0585,11,2097,NSW,-33.732,151.3012
ds34,1000,1,S0588,4,2043,NSW,-33.9025,151.1858
ds34,1000,1,S0596,7,2203,NSW,-33.9041,151.1394
ds34,1000,1,S0598,11,2131,NSW,-33.8883,151.1227
ds34,1000,1,S0600,10,2291,NSW,-32.9382,151.7591
ds34,1000,1,W0001,7,2233,NSW,-34.0535,151.0356
